,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539693,539693,381164,,,8.0,6.92,,,5.0,7.0,4.75,8.6,8.0,2.0
539694,539694,381165,,,8.5,7.08,,,5.0,7.5,7.0,8.2,5.75,2.0
539695,539695,381166,,,7.25,5.5,,,7.8,7.25,4.75,7.4,4.5,2.0
539696,539696,381167,,,7.75,7.17,,,7.4,7.25,5.5,9.4,8.25,2.0
539697,539697,381168,,,5.0,5.42,,,6.6,5.5,4.75,8.4,6.5,2.0
539698,539698,381169,,,5.5,5.17,,,6.4,6.75,4.75,7.0,5.25,2.0
539699,539699,381170,,,6.75,6.33,,,6.6,6.5,5.25,8.8,7.0,2.0
539700,539700,381171,,,7.25,7.33,,,9.0,6.75,5.75,8.8,9.0,2.0
539701,539701,381172,,,7.75,6.75,,,5.4,6.5,5.5,8.2,7.0,2.0
539702,539702,381173,,,5.75,4.92,,,7.8,8.25,5.25,8.8,3.75,2.0
539703,539703,381174,,,8.0,7.42,,,4.8,7.0,7.25,8.0,7.0,2.0
539704,539704,381175,,,7.25,6.58,,,5.6,6.75,5.75,8.0,6.75,2.0
539706,539706,381177,,,7.25,6.33,,,7.8,7.0,4.0,8.8,7.75,2.0
539708,539708,381179,,,7.0,6.17,,,8.0,5.67,4.0,8.6,7.5,2.0
539710,539710,381181,,,8.25,7.75,,,8.6,6.75,7.0,8.8,8.0,2.0
539711,539711,381182,,,8.25,7.5,,,7.6,7.75,5.5,9.0,8.75,2.0
539713,539713,381184,,,6.0,6.42,,,8.8,7.0,6.5,8.6,6.75,2.0
539715,539715,381186,,,6.0,6.75,,,7.8,6.5,6.5,9.2,7.75,2.0
539716,539716,381187,,,7.0,7.08,,,9.2,7.0,6.5,8.6,7.75,2.0
539718,539718,381189,,,7.25,5.83,,,5.6,6.5,3.5,8.6,6.75,2.0
539720,539720,381191,,,5.5,5.67,,,8.8,7.5,4.5,7.8,7.0,2.0
539721,539721,381192,,,5.0,6.33,,,8.8,4.25,6.5,8.4,7.5,2.0
539722,539722,381193,,,6.25,6.42,,,7.2,6.25,4.75,8.4,8.25,2.0
539723,539723,381194,,,4.75,5.58,,,6.6,7.25,5.25,7.8,6.75,2.0
539724,539724,381195,,,7.25,6.83,,,5.2,6.5,5.0,8.2,8.25,2.0
539725,539725,381196,,,5.5,6.25,,,8.2,7.5,5.25,8.4,8.0,2.0
539726,539726,381197,,,4.75,5.75,,,6.8,5.75,5.75,8.2,6.75,2.0
539727,539727,381198,,,4.5,5.0,,,8.4,6.0,5.0,7.8,5.5,2.0
539728,539728,381199,,,7.5,6.5,,,6.6,6.0,4.75,9.2,7.25,2.0
539729,539729,381200,,,5.0,5.25,,,7.4,4.75,3.5,8.4,7.25,2.0
539730,539730,381201,,,5.25,5.92,,,7.6,6.25,5.75,7.6,6.75,2.0
539731,539731,381202,,,7.5,6.75,,,7.2,6.75,6.5,7.4,6.25,2.0
539732,539732,381203,,,7.75,7.0,,,7.0,7.5,6.25,8.2,7.0,2.0
539733,539733,381204,,,6.0,6.0,,,6.6,7.0,5.0,8.2,7.0,2.0
539735,539735,381206,,,4.75,5.58,,,6.2,7.0,5.0,5.2,7.0,2.0
539736,539736,381207,,,5.0,5.58,,,8.4,7.5,3.5,8.6,8.25,2.0
539738,539738,381209,,,5.5,4.67,,,7.8,7.0,5.0,7.8,3.5,2.0
539741,539741,381212,,,8.25,7.08,,,6.2,6.5,5.25,7.6,7.75,2.0
539742,539742,381213,,,7.25,6.67,,,6.6,6.75,7.0,7.8,5.75,2.0
539743,539743,381214,,,7.75,7.25,,,7.2,6.0,6.25,8.2,7.75,2.0
539744,539744,381215,,,8.5,7.25,,,6.6,6.75,5.0,7.6,8.25,2.0
539745,539745,381216,,,6.0,6.33,,,8.2,6.75,5.5,8.2,7.5,2.0
539746,539746,381217,,,6.75,5.75,,,7.0,5.5,6.0,7.8,4.5,2.0
539748,539748,381219,,,8.0,7.25,,,7.6,7.0,6.0,9.0,7.75,2.0
539750,539750,381221,,,6.75,5.92,,,5.6,6.0,4.25,8.2,6.75,2.0
539753,539753,381224,,,8.5,7.25,,,,6.75,5.5,9.2,7.75,2.0
539754,539754,381225,,,5.5,6.42,,,8.2,4.0,6.5,9.2,7.25,2.0
539755,539755,381226,,,8.0,7.58,,,6.0,6.5,7.25,8.2,7.5,2.0
539756,539756,381227,,,5.25,5.58,,,7.8,6.5,4.25,8.2,7.25,2.0
539757,539757,381228,,,5.75,5.75,,,3.0,5.5,5.5,6.6,6.0,2.0
539758,539758,381229,,,7.25,6.25,,,8.8,6.75,6.25,8.0,5.25,2.0
539759,539759,381230,,,5.5,6.08,,,8.8,7.5,5.25,8.6,7.5,2.0
539760,539760,381231,,,7.75,6.58,,,8.2,7.0,5.5,6.8,6.5,2.0
539762,539762,381233,,,6.0,6.17,,,7.2,7.25,5.75,7.8,6.75,2.0
539763,539763,381234,,,7.75,6.92,,,6.0,6.0,7.5,8.2,5.5,2.0
539764,539764,381235,,,5.25,5.33,,,6.6,7.0,4.25,8.6,6.5,2.0
539765,539765,381236,,,7.0,6.58,,,6.8,4.75,5.0,8.0,7.75,2.0
539767,539767,381238,,,7.5,6.58,,,8.4,8.0,4.25,8.8,8.0,2.0
539768,539768,381239,,,8.5,7.67,,,8.4,8.0,7.5,8.6,7.0,2.0
539770,539770,381241,,,5.0,5.17,,,6.2,7.75,5.0,6.6,5.5,2.0
539771,539771,381242,,,5.5,3.83,,,7.8,7.5,2.75,6.8,3.25,2.0
539773,539773,381244,,,6.0,6.25,,,8.0,6.0,5.0,8.4,7.75,2.0
539774,539774,381245,,,7.5,6.42,,,7.4,6.5,4.5,8.0,7.25,2.0
539775,539775,381246,,,5.25,4.67,,,4.4,7.25,5.0,7.4,3.75,2.0
539777,539777,381248,,,6.75,6.67,,,7.4,6.5,5.5,8.8,7.75,2.0
539779,539779,381250,,,6.75,6.42,,,6.6,5.5,7.5,7.2,5.0,2.0
539780,539780,381251,,,8.25,7.42,,,6.0,4.25,6.25,9.2,7.75,2.0
539781,539781,381252,,,6.0,7.0,,,6.2,7.25,7.25,8.6,7.75,2.0
539783,539783,381254,,,5.75,6.25,,,5.2,5.75,6.25,7.8,6.75,2.0
539784,539784,381255,,,7.5,6.0,,,5.0,6.25,4.5,8.0,6.0,2.0
539785,539785,381256,,,6.25,6.08,,,5.8,7.0,5.25,8.6,6.75,2.0
539786,539786,381257,,,6.25,5.33,,,4.6,7.75,2.75,8.0,7.0,2.0
539791,539791,381262,,,8.5,6.75,,,7.2,6.75,4.75,7.8,7.0,2.0
539794,539794,381265,,,5.0,6.08,,,8.4,7.25,5.5,7.4,7.75,2.0
539796,539796,381267,,,6.75,6.25,,,5.2,6.25,5.0,8.0,7.0,2.0
539797,539797,381268,,,4.75,5.42,,,4.8,6.75,5.75,7.2,5.75,2.0
539798,539798,381269,,,6.25,6.33,,,7.2,6.25,5.25,7.8,7.5,2.0
539799,539799,381270,,,7.25,7.08,,,8.0,6.5,8.0,8.0,6.0,2.0
539800,539800,381271,,,4.75,5.42,,,7.2,6.5,5.0,6.8,6.5,2.0
