No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539706,2000169,,,7.25,6.33,,,7.8,7.0,4.0,8.8,7.75,2.0
539707,2000170,7.25,9.0,,,7.08,5.0,6.6,8.25,,8.4,,2.0
539708,2000171,,,7.0,6.17,,,8.0,5.67,4.0,8.6,7.5,2.0
539709,2000172,7.25,7.0,,,6.33,4.75,5.6,7.25,,8.2,,2.0
539710,2000173,,,8.25,7.75,,,8.6,6.75,7.0,8.8,8.0,2.0
539711,2000174,,,8.25,7.5,,,7.6,7.75,5.5,9.0,8.75,2.0
539712,2000175,7.75,7.5,,,7.42,7.0,6.0,8.0,,8.2,,2.0
539713,2000176,,,6.0,6.42,,,8.8,7.0,6.5,8.6,6.75,2.0
539714,2000177,7.0,8.5,,,7.67,7.5,7.2,7.0,,7.8,,2.0
539715,2000178,,,6.0,6.75,,,7.8,6.5,6.5,9.2,7.75,2.0
539716,2000179,,,7.0,7.08,,,9.2,7.0,6.5,8.6,7.75,2.0
539717,2000180,5.5,7.25,,,6.08,5.5,4.2,6.0,,7.0,,2.0
539718,2000181,,,7.25,5.83,,,5.6,6.5,3.5,8.6,6.75,2.0
539719,2000182,7.0,7.5,,,7.0,6.5,7.8,7.0,,7.0,,2.0
539720,2000183,,,5.5,5.67,,,8.8,7.5,4.5,7.8,7.0,2.0
539721,2000184,,,5.0,6.33,,,8.8,4.25,6.5,8.4,7.5,2.0
539722,2000185,,,6.25,6.42,,,7.2,6.25,4.75,8.4,8.25,2.0
539723,2000186,,,4.75,5.58,,,6.6,7.25,5.25,7.8,6.75,2.0
539724,2000187,,,7.25,6.83,,,5.2,6.5,5.0,8.2,8.25,2.0
539725,2000188,,,5.5,6.25,,,8.2,7.5,5.25,8.4,8.0,2.0
539726,2000189,,,4.75,5.75,,,6.8,5.75,5.75,8.2,6.75,2.0
539727,2000190,,,4.5,5.0,,,8.4,6.0,5.0,7.8,5.5,2.0
539728,2000191,,,7.5,6.5,,,6.6,6.0,4.75,9.2,7.25,2.0
539729,2000192,,,5.0,5.25,,,7.4,4.75,3.5,8.4,7.25,2.0
539730,2000193,,,5.25,5.92,,,7.6,6.25,5.75,7.6,6.75,2.0
539731,2000194,,,7.5,6.75,,,7.2,6.75,6.5,7.4,6.25,2.0
539732,2000195,,,7.75,7.0,,,7.0,7.5,6.25,8.2,7.0,2.0
539733,2000196,,,6.0,6.0,,,6.6,7.0,5.0,8.2,7.0,2.0
539734,2000197,5.25,6.5,,,5.17,3.75,3.2,5.75,,5.4,,2.0
539735,2000198,,,4.75,5.58,,,6.2,7.0,5.0,5.2,7.0,2.0
539736,2000199,,,5.0,5.58,,,8.4,7.5,3.5,8.6,8.25,2.0
539737,2000200,7.25,8.0,,,7.83,8.25,9.2,7.0,,7.4,,2.0
539738,2000201,,,5.5,4.67,,,7.8,7.0,5.0,7.8,3.5,2.0
539739,2000202,9.0,9.5,,,9.25,9.25,6.4,6.75,,8.0,,2.0
539740,2000203,6.75,7.0,,,5.75,3.5,6.2,7.0,,7.6,,2.0
539741,2000204,,,8.25,7.08,,,6.2,6.5,5.25,7.6,7.75,2.0
539742,2000205,,,7.25,6.67,,,6.6,6.75,7.0,7.8,5.75,2.0
539743,2000206,,,7.75,7.25,,,7.2,6.0,6.25,8.2,7.75,2.0
539744,2000207,,,8.5,7.25,,,6.6,6.75,5.0,7.6,8.25,2.0
539745,2000208,,,6.0,6.33,,,8.2,6.75,5.5,8.2,7.5,2.0
539746,2000209,,,6.75,5.75,,,7.0,5.5,6.0,7.8,4.5,2.0
539747,2000210,7.25,8.25,,,7.67,7.5,8.8,6.75,,9.0,,2.0
539748,2000211,,,8.0,7.25,,,7.6,7.0,6.0,9.0,7.75,2.0
539749,2000212,6.0,7.0,,,6.42,6.25,4.6,6.0,,5.8,,2.0
539750,2000213,,,6.75,5.92,,,5.6,6.0,4.25,8.2,6.75,2.0
539751,2000214,7.75,8.5,,,7.67,6.75,8.4,7.0,,8.0,,2.0
539752,2000215,8.75,8.75,,,8.92,9.25,6.0,9.0,,8.6,,2.0
