No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
273072,1000211,7.75,8.25,,,7.17,5.5,8.6,8.0,,8.2,,1.0
273073,1000212,,,5.0,5.42,,,8.6,8.5,3.75,8.8,7.5,1.0
273074,1000213,,,8.5,6.83,,,9.2,7.5,6.5,9.0,5.5,1.0
273075,1000214,6.25,8.0,,,6.58,5.5,8.4,8.5,,7.2,,1.0
273076,1000215,7.0,8.0,,,6.92,5.75,7.2,8.5,,9.0,,1.0
273077,1000216,7.75,8.5,,,7.33,5.75,7.6,7.5,,8.8,,1.0
273078,1000217,6.25,7.5,,,6.08,4.5,7.0,7.0,,7.2,,1.0
273079,1000218,,,8.0,6.42,,,5.8,5.75,3.5,8.6,7.75,1.0
273080,1000219,6.25,9.0,,,6.75,5.0,4.0,8.25,,7.4,,1.0
273081,1000220,7.5,9.75,,,7.58,5.5,8.2,7.0,,8.4,,1.0
273082,1000221,8.0,9.25,,,8.08,7.0,5.0,8.0,,5.6,,1.0
273083,1000222,7.5,9.0,,,7.0,4.5,7.6,7.0,,8.4,,1.0
273084,1000223,6.75,9.25,,,7.08,5.25,3.2,7.5,,4.8,,1.0
273085,1000224,8.0,8.25,,,7.92,7.5,7.4,8.75,,8.8,,1.0
273086,1000225,4.5,6.0,,,4.67,3.5,1.6,6.0,,2.6,,1.0
273087,1000226,7.25,7.75,,,7.0,6.0,5.8,8.25,,8.0,,1.0
273088,1000227,6.75,7.5,,,7.08,7.0,6.4,7.0,,5.0,,1.0
273089,1000228,7.0,9.0,,,7.83,7.5,5.8,8.0,,8.0,,1.0
273090,1000229,8.25,9.0,,,8.17,7.25,8.2,7.25,,9.0,,1.0
273091,1000230,,,7.25,6.58,,,5.6,7.25,4.5,8.2,8.0,1.0
273092,1000231,3.25,8.0,,,5.42,5.0,6.4,8.75,,4.6,,1.0
273093,1000232,,,3.75,5.33,,,6.6,4.5,4.5,8.2,7.75,1.0
273094,1000233,,,,,,5.25,,6.5,,6.8,,1.0
273095,1000234,,,6.0,5.75,,,7.4,4.0,4.0,9.2,7.25,1.0
273096,1000235,,,7.75,6.08,,,4.6,6.0,3.5,8.6,7.0,1.0
273097,1000236,,,,,,9.75,,6.5,,8.6,,1.0
273098,1000237,7.25,,,,,7.0,,5.0,,5.4,,1.0
273099,1000238,,,6.0,6.08,,,7.6,7.0,4.75,9.2,7.5,1.0
273100,1000239,8.25,8.5,,,8.08,7.5,8.4,8.0,,8.0,,1.0
273101,1000240,,,,,,9.0,,7.0,,8.0,,1.0
273102,1000241,7.25,9.0,,,6.92,4.5,4.8,6.0,,7.4,,1.0
273103,1000242,7.25,8.5,,,8.0,8.25,8.2,8.25,,7.8,,1.0
