,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
572975,572975,572976,,,5.25,4.67,,,2.6,6.25,5.0,7.4,3.75,2.0
572976,572976,572977,,,5.0,5.58,,,6.4,7.5,6.25,7.0,5.5,2.0
572980,572980,572981,,,9.0,7.0,,,6.0,7.0,7.25,9.2,4.75,2.0
572981,572981,572982,,,5.0,5.17,,,4.2,6.0,5.5,6.0,5.0,2.0
572988,572988,572989,,,6.5,6.0,,,3.4,6.0,4.25,7.6,7.25,2.0
572990,572990,572991,,,6.25,6.08,,,3.8,6.5,5.25,8.2,6.75,2.0
572993,572993,572994,,,6.5,6.75,,,3.2,6.75,5.75,7.4,8.0,2.0
572995,572995,572996,,,6.75,5.08,,,8.4,6.75,4.0,8.6,4.5,2.0
572999,572999,573000,,,7.5,5.75,,,5.0,6.0,3.75,8.2,6.0,2.0
573004,573004,573005,,,6.75,6.75,,,7.2,6.75,6.25,8.8,7.25,2.0
573006,573006,573007,,,7.5,7.75,,,8.8,8.5,8.25,9.4,7.5,2.0
573009,573009,573010,,,6.5,6.42,,,5.6,6.5,5.5,8.0,7.25,2.0
573012,573012,573013,,,5.75,6.33,,,9.8,7.0,4.5,9.2,8.75,2.0
573013,573013,573014,,,7.5,6.67,,,5.0,7.25,5.0,7.6,7.5,2.0
573016,573016,573017,,,3.75,4.83,,,3.6,7.75,5.25,6.2,5.5,2.0
573020,573020,573021,,,5.5,3.92,,,6.0,5.0,2.75,6.0,3.5,2.0
573021,573021,573022,,,7.25,6.83,,,5.6,6.5,6.25,8.0,7.0,2.0
573028,573028,573029,,,5.5,4.67,,,4.0,6.25,4.25,5.6,4.25,2.0
573030,573030,573031,,,7.25,5.58,,,3.6,6.0,4.5,8.0,5.0,2.0
573035,573035,573036,,,4.75,5.25,,,4.2,6.5,4.75,7.6,6.25,2.0
573040,573040,573041,,,4.5,6.17,,,5.0,6.75,7.0,7.4,7.0,2.0
573043,573043,573044,,,5.0,5.33,,,2.6,5.25,5.0,6.0,6.0,2.0
573044,573044,573045,,,6.75,7.33,,,7.6,4.25,7.5,9.2,7.75,2.0
573045,573045,573046,,,5.0,4.83,,,5.0,7.75,4.25,7.4,5.25,2.0
573046,573046,573047,,,6.75,6.5,,,5.8,6.25,5.5,7.4,7.25,2.0
573051,573051,573052,,,8.25,7.67,,,5.2,7.25,6.5,8.6,8.25,2.0
573053,573053,573054,,,6.0,6.33,,,7.4,7.0,4.75,9.0,8.25,2.0
573054,573054,573055,,,4.25,5.33,,,5.6,6.5,6.25,7.4,5.5,2.0
573056,573056,573057,,,6.0,5.25,,,4.8,6.25,4.5,6.6,5.25,2.0
573058,573058,573059,,,6.5,6.5,,,5.8,7.25,5.5,8.0,7.5,2.0
573062,573062,573063,,,7.25,5.83,,,2.8,6.75,3.0,8.4,7.25,2.0
573063,573063,573064,,,6.0,6.42,,,4.8,6.0,6.5,8.4,6.75,2.0
573075,573075,573076,,,8.25,7.33,,,7.2,7.75,8.5,8.6,5.25,2.0
573079,573079,573080,,,6.75,6.17,,,7.6,6.0,5.0,8.6,6.75,2.0
573083,573083,573084,,,8.25,7.08,,,6.6,6.75,5.5,9.4,7.5,2.0
573084,573084,573085,,,7.5,6.33,,,3.4,7.5,7.0,7.8,4.5,2.0
573086,573086,573087,,,4.75,5.5,,,4.4,5.0,5.5,6.2,6.25,2.0
573090,573090,573091,,,6.0,6.42,,,6.0,7.25,6.5,7.8,6.75,2.0
573092,573092,573093,,,8.0,6.92,,,7.0,7.25,7.5,8.4,5.25,2.0
573095,573095,573096,,,5.25,5.75,,,6.4,6.0,5.25,7.0,6.75,2.0
573096,573096,573097,,,6.0,6.67,,,4.2,5.5,7.25,8.6,6.75,2.0
573097,573097,573098,,,6.75,6.92,,,5.4,5.5,7.0,7.8,7.0,2.0
573102,573102,573103,,,7.5,6.42,,,4.0,6.0,7.0,8.2,4.75,2.0
573195,573195,573196,,,5.75,5.83,,,3.8,7.0,6.5,8.6,5.25,2.0
573197,573197,573198,,,5.75,6.17,,,5.8,6.5,6.0,7.0,6.75,2.0
573200,573200,573201,,,7.25,6.83,,,4.8,7.5,5.5,7.4,7.75,2.0
573201,573201,573202,,,7.75,7.25,,,5.4,5.0,6.0,9.2,8.0,2.0
573203,573203,573204,,,6.25,6.0,,,4.4,6.25,5.25,7.2,6.5,2.0
573204,573204,573205,,,7.5,6.42,,,6.4,6.25,5.0,7.8,6.75,2.0
573207,573207,573208,,,6.0,5.33,,,4.8,7.5,5.75,8.0,4.25,2.0
573214,573214,573215,,,7.25,7.17,,,8.4,6.0,5.75,9.4,8.5,2.0
573215,573215,573216,,,7.75,7.42,,,5.4,7.5,9.5,9.2,5.0,2.0
573217,573217,573218,,,7.75,6.75,,,6.0,6.25,5.75,7.6,6.75,2.0
573220,573220,573221,,,7.25,7.25,,,4.4,7.0,6.5,8.8,8.0,2.0
573221,573221,573222,,,7.0,6.0,,,4.8,7.0,6.5,8.6,4.5,2.0
573222,573222,573223,,,7.5,6.25,,,5.4,6.0,6.75,8.8,4.5,2.0
573224,573224,573225,,,6.5,5.92,,,4.4,5.0,3.75,7.0,7.5,2.0
573226,573226,573227,,,8.25,7.33,,,6.0,6.0,5.75,9.0,8.0,2.0
573227,573227,573228,,,6.0,5.25,,,4.0,7.0,3.5,7.6,6.25,2.0
573230,573230,573231,,,6.5,6.17,,,5.2,6.75,5.0,8.2,7.0,2.0
573231,573231,573232,,,7.5,6.67,,,3.4,6.25,5.5,7.6,7.0,2.0
573233,573233,573234,,,9.0,8.08,,,7.2,7.5,9.0,9.6,6.25,2.0
573236,573236,573237,,,8.25,6.67,,,5.4,7.0,7.0,7.8,4.75,2.0
