Code,Nguvan,Toan,Ngoaingu,Mon 1,Mon 2,Mon 3, TB ,Xep Loai
2000125,>=7,>=7,>=7,>=7,>=7,>=7, 8.49 ,G
2000126,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.60 ,TB
2000127,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.94 ,TB
2000128,>=7,>=7,"[1,6)","[6,7)","[1,6)",>=7, 6.95 ,TB
2000129,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.78 ,TB
2000130,>=7,>=7,>=7,"[6,7)","[6,7)",>=7, 7.75 ,K
2000131,>=7,>=7,>=7,>=7,"[6,7)",>=7, 7.63 ,K
2000132,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.03 ,TB
2000133,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.49 ,K
2000134,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.54 ,K
2000135,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 6.90 ,TB
2000136,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.43 ,K
2000137,>=7,>=7,>=7,>=7,>=7,>=7, 8.19 ,G
2000138,"[6,7)",>=7,"[1,6)","[1,6)","[1,6)","[6,7)", 5.38 ,TB
2000139,>=7,>=7,>=7,"[1,6)","[1,6)",>=7, 6.72 ,TB
2000140,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.75 ,TB
2000141,>=7,"[6,7)",>=7,"[6,7)","[6,7)",>=7, 7.15 ,K
2000142,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.38 ,TB
2000143,"[6,7)",>=7,"[1,6)","[6,7)","[6,7)",>=7, 6.75 ,TB
2000144,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.51 ,TB
2000145,"[1,6)",>=7,"[6,7)","[1,6)",>=7,>=7, 6.41 ,TB
2000146,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.89 ,K
2000147,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.33 ,TB
2000148,>=7,>=7,>=7,>=7,>=7,>=7, 8.08 ,G
2000149,>=7,>=7,>=7,"[6,7)",>=7,>=7, 8.10 ,K
2000150,>=7,>=7,>=7,>=7,>=7,>=7, 7.93 ,K
2000151,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.68 ,TB
2000152,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.44 ,TB
2000153,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.97 ,TB
2000154,"[6,7)","[6,7)",>=7,"[6,7)",>=7,>=7, 7.13 ,K
2000155,"[6,7)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 6.38 ,TB
2000156,>=7,"[6,7)",>=7,"[1,6)","[1,6)",>=7, 6.93 ,TB
2000157,>=7,"[6,7)","[6,7)","[1,6)","[6,7)",>=7, 6.98 ,TB
2000158,"[6,7)",>=7,"[6,7)","[1,6)",>=7,>=7, 7.22 ,TB
2000159,"[6,7)",>=7,"[6,7)","[1,6)","[1,6)",>=7, 6.11 ,TB
2000160,>=7,>=7,"[6,7)",>=7,>=7,>=7, 8.22 ,K
2000161,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.59 ,K
2000162,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.20 ,TB
2000163,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.18 ,TB
2000164,"[1,6)","[1,6)","[1,6)","[1,6)","[1,6)","[1,6)", 4.44 ,0
2000165,"[6,7)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.51 ,TB
2000166,>=7,>=7,>=7,"[1,6)",>=7,"[6,7)", 7.05 ,TB
2000167,"[6,7)",>=7,>=7,>=7,"[6,7)",>=7, 7.38 ,K
2000168,>=7,>=7,"[6,7)",>=7,"[6,7)",>=7, 7.53 ,K
2000169,>=7,>=7,>=7,>=7,>=7,>=7, 8.11 ,G
2000170,"[1,6)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.08 ,TB
2000171,"[6,7)","[6,7)","[6,7)",>=7,>=7,>=7, 7.06 ,K
2000172,"[1,6)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.78 ,TB
2000173,>=7,>=7,>=7,"[6,7)","[6,7)",>=7, 7.79 ,K
2000174,"[1,6)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 5.08 ,TB
2000175,"[1,6)","[6,7)",>=7,"[1,6)","[6,7)",>=7, 6.83 ,TB
2000176,>=7,>=7,>=7,"[6,7)",>=7,>=7, 8.09 ,K
2000177,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 7.06 ,TB
2000178,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.55 ,TB
2000179,>=7,>=7,"[6,7)","[1,6)",>=7,"[6,7)", 6.91 ,TB
2000180,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.85 ,K
2000181,"[6,7)",>=7,>=7,"[1,6)",>=7,>=7, 7.17 ,TB
2000182,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.93 ,TB
2000183,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.83 ,K
2000184,>=7,"[6,7)","[1,6)","[1,6)","[1,6)",>=7, 5.92 ,TB
2000185,"[6,7)",>=7,"[6,7)","[6,7)",>=7,>=7, 6.86 ,K
2000186,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 6.15 ,TB
2000187,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.68 ,K
2000188,>=7,>=7,"[6,7)","[1,6)","[1,6)",>=7, 6.93 ,TB
2000189,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.59 ,TB
2000190,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 5.55 ,TB
2000191,>=7,"[1,6)","[1,6)","[1,6)",>=7,>=7, 6.38 ,TB
2000192,>=7,>=7,>=7,>=7,>=7,>=7, 7.89 ,K
2000193,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.64 ,TB
2000194,"[6,7)",>=7,>=7,>=7,>=7,>=7, 7.91 ,K
2000195,>=7,"[6,7)","[6,7)","[1,6)",>=7,>=7, 6.78 ,TB
2000196,"[6,7)",>=7,"[6,7)","[1,6)",>=7,>=7, 6.83 ,TB
2000197,>=7,"[1,6)","[1,6)","[1,6)",>=7,>=7, 5.91 ,TB
2000198,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 7.03 ,TB
2000199,>=7,>=7,>=7,>=7,"[6,7)",>=7, 7.48 ,K
2000200,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.72 ,K
